Plot ID,PPW1314,,Sampler(s),"MK,AC,MO,KO",,,,,Date ,20180627,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Height,BD,,,Height ,Count >50,,,
Quad,Type,Tree Tag No., X (cm),Y (cm),Species,Survival,Basal,Epicormic,Apical,% Living Canopy ,SA or Stump Height (cm),SA or Stump BD (cm),SA  Stem#,DBH (cm),Basal resrpout (height),Basal Resprout count ,Tag pulled,SOD on Bay ,Notes
D1,TR,1902,,,QUEDOU,1,0,0,1,4,,,,32.3,,,0,,
D1,TR,1904,,,QUEDOU,1,0,1,1,4,,,,37.4,,,0,,
D2,TR,1962,,,QUEDOU,1,0,0,1,3,,,,51.5,,,0,,
D3,TR,1961,,,QUEAGR,1,0,1,1,3,,,,28.7,,,0,,
D3,TR,1961.1,,,QUEAGR,1,0,0,1,4,,,,22.8,,,0,,
D3,TS,1961.2,,,QUEAGR,0,0,,,,,2.4,0,,,,0,,
D4,SA,1910,,,ARCMAN,0,0,,,,,2.69,0,,,,0,,
D4,TR,1913,,,QUEDOU,1,0,1,1,4,,,,37.9,,,0,,
C3,TR,1911,,,QUEGAR,1,0,0,1,4,,,,41.3,,,0,,"WAS QUEDOU, CHANGED BASED ON 2020 FIELD NOTE- MKQC2022"
C4,TR,1960,,,QUEDOU,1,0,0,1,4,,,,36.8,,,0,,
C4,TR,1960.1,,,QUEDOU,1,0,0,1,2,,,,11.5,,,0,,
B2,TR,1921,,,QUEDOU,1,0,1,1,3,,,,19.7,,,0,,
B3,TR,1903,,,ARCMAN,0,0,0,0,0,,,,20.5,,,0,,
B3,TR,1903.1,,,ARCMAN,0,0,0,0,0,,,,20.2,,,0,,
B3,TR,1903.2,,,ARCMAN,0,0,0,0,0,,,,18.8,,,0,,
A1,TR,1912,,,QUEDOU,1,0,0,1,3,,,,37.9,,,0,,
D4,SA,1905,,,ARBMEN,0,1,,,,,1.37,0,,29.1,1,0,,OG DEAD/ CHANGE IN DATABASE SP.NOT A HETARB
B2,SA,1959,,,ARCMAN,0,0,,,,,2.58,0,,,,0,,
B2,TS,1959.1,,,ARCMAN,0,0,,,,,2.13,0,,,,0,,
B2,TS,1959.2,,,ARCMAN,0,0,,,,,2.93,0,,,,0,,
B2,SA,1958,,,ARCMAN,0,0,,,,,2.08,0,,,,0,,
